"Settlement.id","long","lat","Name","Metric...System","Demographics...Projected.household.count","Demand..household....Target.household.count","Demand...Projected.nodal.demand.per.year","System..grid....Transformer.cost","Demographics...Population.count","Demographics...Projected.population.count","order","piece","group","id","fake.node","root","branch","dist","MV.line.per.kwh","near.sighted.sequence","depth","Total.Downstream.Demand.kWh","Total.Downstream.Network.Extent.m","Selection.Criteria","far.sighted.sequence"
"382",128.90168,-2.855781,810314100401,"grid",141,141,144666,11000,539,539,1,"1","406.1","406",FALSE,361,"361",56.6863997776158,0.000391843278846555,54,0,144666,56.6863997776158,0.000391843278846555,53
"498",128.131596,-3.753279,817101000304,"grid",114,114,116964,9000,463,463,1,"1","378.1","378",FALSE,119,"119",46.1773860260792,0.000394799989963401,55,0,116964,46.1773860260792,0.000394799989963401,54
"1260",128.764601,-3.646483,810308100601,"grid",17,17,17442,3000,54,54,1,"1","232.1","232",FALSE,351,"351",6.9568965012104,0.000398858875198395,56,0,17442,6.9568965012104,0.000398858875198395,55
"790",128.692497,-3.414566,810603300401,"grid",6,6,6156,3000,17,17,1,"1","215.1","215",FALSE,330,"330",2.46100805979751,0.000399773888855996,57,0,6156,2.46100805979751,0.000399773888855996,56
"876",127.991256,-3.105193,810601001012,"grid",70,70,71820,7000,305,305,1,"1","330.1","330",FALSE,53,"53",28.9346048843508,0.000402876704042757,58,0,71820,28.9346048843508,0.000402876704042757,57
"1094",129.553716,-3.461686,810304000206,"grid",93,93,95418,9000,449,449,1,"1","368.1","368",FALSE,423,"423",43.277341625279,0.00045355532106394,59,0,95418,43.277341625279,0.00045355532106394,58
"327",128.998554,-3.213915,810306000501,"grid",38,38,38988,3000,147,147,1,"1","279.1","279",FALSE,384,"384",18.1622204258773,0.000465841295421085,61,0,38988,18.1622204258773,0.000465841295421085,59
"1044",128.990719,-3.164355,810305002702,"grid",58,58,59508,6000,226,226,1,"1","324.1","324",FALSE,381,"381",27.731877448042,0.000466019315857397,62,0,59508,27.731877448042,0.000466019315857397,60
"972",128.319566,-3.508394,810310000603,"grid",38,38,38988,3000,193,193,1,"1","280.1","280",FALSE,254,"254",18.399116638208,0.000471917426854623,63,0,38988,18.399116638208,0.000471917426854623,61
"962",128.176537,-3.699065,817101001301,"grid",41,41,42066,3000,243,243,1,"1","295.1","295",FALSE,145,"145",20.5203358441553,0.000487812861792309,64,0,42066,20.5203358441553,0.000487812861792309,62
"1145",127.941727,-3.374718,810602100313,"grid",23,23,23598,3000,138,138,1,"1","255.1","255",FALSE,40,"40",11.5626541807329,0.000489984497869857,65,0,23598,11.5626541807329,0.000489984497869857,63
"7",129.374432,-2.814791,810314001401,"grid",40,40,41040,3000,133,133,1,"1","294.1","294",FALSE,416,"416",20.3274949068932,0.00049530933008999,66,0,41040,20.3274949068932,0.00049530933008999,64
"1287",128.190771,-3.725215,817101000904,"grid",7,7,7182,3000,29,29,1,"1","219.1","219",FALSE,176,"176",3.602546917625,0.000501607757953913,67,0,7182,3.602546917625,0.000501607757953913,65
"1000",127.983107,-3.38383,810602100312,"grid",265,265,271890,19000,1615,1615,1,"1","540.1","540",FALSE,51,"51",139.340174317332,0.000512487308534085,68,0,271890,139.340174317332,0.000512487308534085,66
"179",128.254555,-3.627833,817103001208,"grid",249,249,255474,19000,1116,1116,1,"1","532.1","532",FALSE,232,"232",133.088695796132,0.000520948103510072,69,0,255474,133.088695796132,0.000520948103510072,67
"1053",128.188491,-3.700659,817102000902,"grid",386,386,396036,27000,1610,1610,1,"1","574.1","574",FALSE,163,"163",206.586971144425,0.000521636849035,70,0,396036,206.586971144425,0.000521636849035,68
"219",129.997688,-3.455579,810703000801,"grid",19,19,19494,3000,87,87,1,"1","250.1","250",FALSE,459,"459",10.1820203194138,0.000522315600667582,71,0,19494,10.1820203194138,0.000522315600667582,69
"396",129.563652999999,-3.414436,810304000301,"grid",18,18,18468,3000,68,68,1,"1","248.1","248",FALSE,424,"424",9.73400873654022,0.000527074330546904,72,0,18468,9.73400873654022,0.000527074330546904,70
"88",128.197962999999,-3.638321,817103100705,"grid",35,35,35910,3000,90,90,1,"1","288.1","288",FALSE,186,"186",19.4645450305419,0.000542036898650568,73,0,35910,19.4645450305419,0.000542036898650568,71
"822",128.561809,-2.854603,810604001601,"grid",41,41,42066,3000,178,178,1,"1","305.1","305",FALSE,308,"308",24.3446030418996,0.000578723982358666,74,0,42066,24.3446030418996,0.000578723982358666,72
"679",128.121854,-3.064731,810602001605,"grid",22,22,22572,3000,85,85,1,"1","262.1","262",FALSE,109,"109",13.0862926569409,0.00057975778207252,75,0,22572,13.0862926569409,0.00057975778207252,73
"1019",128.30113,-3.241792,810603100301,"grid",99,99,101574,9000,323,323,1,"1","411.1","411",FALSE,250,"250",59.2250355710645,0.000583072789996107,76,0,101574,59.2250355710645,0.000583072789996107,74
"307",128.17832,-3.583774,810311001403,"grid",78,78,80028,7000,336,336,1,"1","390.1","390",FALSE,147,"147",48.8533050438593,0.000610452654619124,77,0,80028,48.8533050438593,0.000610452654619124,75
